EndDt_DtFin,MjrCmdtyEn_PrdtPrncplAn,CtgryEn_CtgrieAn,NumHd_NmbTetes
1997-01-04T00:00:00-05:00,Chicken,Female,609
1997-01-04T00:00:00-05:00,Chicken,Male,2403
1997-01-04T00:00:00-05:00,Chicken,Bulls,119
1997-01-04T00:00:00-05:00,Chicken,Cows,10810
1997-01-04T00:00:00-05:00,Chicken,Heifers,12100
1997-01-04T00:00:00-05:00,Chicken,Steers,21944
1997-01-04T00:00:00-05:00,Turkey,Market Mature Chicken,211450
1997-01-04T00:00:00-05:00,Ducks/Geese,Lambs,1564
1997-01-04T00:00:00-05:00,Ducks/Geese,Sheep,218
1997-01-11T00:00:00-05:00,Turkey,Female,1175
1997-01-11T00:00:00-05:00,Turkey,Male,4210
1997-01-11T00:00:00-05:00,Chicken,Bulls,368
1997-01-11T00:00:00-05:00,Chicken,Cows,16483
1997-01-11T00:00:00-05:00,Chicken,Heifers,18059
1997-01-11T00:00:00-05:00,Chicken,Steers,25949
1997-01-11T00:00:00-05:00,Mature Chicken,Market Mature Chicken,316444
1997-01-11T00:00:00-05:00,Chicken,Lambs,2507
1997-01-11T00:00:00-05:00,Ducks/Geese,Sheep,218
1997-01-18T00:00:00-05:00,Ducks/Geese,Female,1095
1997-01-18T00:00:00-05:00,Chicken,Male,3442
1997-01-18T00:00:00-05:00,Chicken,Bulls,387
1997-01-18T00:00:00-05:00,Chicken,Cows,14892
1997-01-18T00:00:00-05:00,Chicken,Heifers,20012
1997-01-18T00:00:00-05:00,Chicken,Steers,24348
1997-01-18T00:00:00-05:00,Mature Chicken,Market Mature Chicken,286399
1997-01-18T00:00:00-05:00,Ducks/Geese,Lambs,2498
1997-01-18T00:00:00-05:00,Ducks/Geese,Sheep,322
1997-01-25T00:00:00-05:00,Chicken,Female,959
1997-01-25T00:00:00-05:00,Chicken,Male,3667
1997-01-25T00:00:00-05:00,Turkey,Bulls,360
1997-01-25T00:00:00-05:00,Turkey,Cows,12945
1997-01-25T00:00:00-05:00,Turkey,Heifers,21133
1997-01-25T00:00:00-05:00,Turkey,Steers,25097
1997-01-25T00:00:00-05:00,Turkey,Market Mature Chicken,291575
1997-01-25T00:00:00-05:00,Turkey,Lambs,2230
1997-01-25T00:00:00-05:00,Turkey,Sheep,285
1997-02-01T00:00:00-05:00,Turkey,Female,815
1997-02-01T00:00:00-05:00,Turkey,Male,3703
1997-02-01T00:00:00-05:00,Chicken,Bulls,372
1997-02-01T00:00:00-05:00,Chicken,Cows,13063
1997-02-01T00:00:00-05:00,Chicken,Heifers,20032
1997-02-01T00:00:00-05:00,Chicken,Steers,24136
1997-02-01T00:00:00-05:00,Mature Chicken,Market Mature Chicken,282926
1997-02-01T00:00:00-05:00,Ducks/Geese,Lambs,2137
1997-02-01T00:00:00-05:00,Ducks/Geese,Sheep,229
1997-02-08T00:00:00-05:00,Turkey,Female,1111
1997-02-08T00:00:00-05:00,Turkey,Male,4048
1997-02-08T00:00:00-05:00,Chicken,Bulls,411
1997-02-08T00:00:00-05:00,Chicken,Cows,13609
1997-02-08T00:00:00-05:00,Chicken,Heifers,21139
1997-02-08T00:00:00-05:00,Chicken,Steers,25237
1997-02-08T00:00:00-05:00,Mature Chicken,Market Mature Chicken,272604
1997-02-08T00:00:00-05:00,Ducks/Geese,Lambs,2680
1997-02-08T00:00:00-05:00,Ducks/Geese,Sheep,487
1997-02-15T00:00:00-05:00,Turkey,Female,1089
1997-02-15T00:00:00-05:00,Turkey,Male,3830
1997-02-15T00:00:00-05:00,Chicken,Bulls,351
1997-02-15T00:00:00-05:00,Chicken,Cows,13692
1997-02-15T00:00:00-05:00,Chicken,Heifers,21229
1997-02-15T00:00:00-05:00,Chicken,Steers,24215
1997-02-15T00:00:00-05:00,Mature Chicken,Market Mature Chicken,285576
1997-02-15T00:00:00-05:00,Ducks/Geese,Lambs,2278
1997-02-15T00:00:00-05:00,Ducks/Geese,Sheep,487
1997-02-22T00:00:00-05:00,Turkey,Female,1102
1997-02-22T00:00:00-05:00,Turkey,Male,3483
1997-02-22T00:00:00-05:00,Chicken,Bulls,392
1997-02-22T00:00:00-05:00,Chicken,Cows,11775
1997-02-22T00:00:00-05:00,Chicken,Heifers,18744
1997-02-22T00:00:00-05:00,Chicken,Steers,22564
1997-02-22T00:00:00-05:00,Mature Chicken,Market Mature Chicken,275351
1997-02-22T00:00:00-05:00,Ducks/Geese,Lambs,2132
1997-02-22T00:00:00-05:00,Ducks/Geese,Sheep,290
1997-03-01T00:00:00-05:00,Turkey,Female,1156
1997-03-01T00:00:00-05:00,Turkey,Male,3830
1997-03-01T00:00:00-05:00,Chicken,Bulls,363
1997-03-01T00:00:00-05:00,Chicken,Cows,12633
1997-03-01T00:00:00-05:00,Chicken,Heifers,21904
1997-03-01T00:00:00-05:00,Chicken,Steers,21647
1997-03-01T00:00:00-05:00,Mature Chicken,Market Mature Chicken,277261
1997-03-01T00:00:00-05:00,Ducks/Geese,Lambs,2289
1997-03-01T00:00:00-05:00,Ducks/Geese,Sheep,198
1997-03-08T00:00:00-05:00,Turkey,Female,1078
1997-03-08T00:00:00-05:00,Turkey,Male,3891
1997-03-08T00:00:00-05:00,Chicken,Bulls,445
1997-03-08T00:00:00-05:00,Chicken,Cows,12030
1997-03-08T00:00:00-05:00,Chicken,Heifers,21404
1997-03-08T00:00:00-05:00,Chicken,Steers,24283
1997-03-08T00:00:00-05:00,Mature Chicken,Market Mature Chicken,275223
1997-03-08T00:00:00-05:00,Ducks/Geese,Lambs,2250
1997-03-08T00:00:00-05:00,Ducks/Geese,Sheep,312
1997-03-15T00:00:00-05:00,Turkey,Female,1210
1997-03-15T00:00:00-05:00,Turkey,Male,4137
1997-03-15T00:00:00-05:00,Chicken,Bulls,473
1997-03-15T00:00:00-05:00,Chicken,Cows,12305
